numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
150,150,5,0.05,all_rebid,10% start,1500,34230,1.82,0.94,0.0042,0
150,150,5,0.05,all_rebid,cold start,9450,205569,11.37,1.29,0.0185,0
150,150,5,0.05,all_rebid,rolling deploy,800,17745,1.76,1.13,0.0286,0
150,150,5,0.10,compare_to_percentile,10% start,1500,30481,1.91,1.01,0.0043,0
150,150,5,0.10,compare_to_percentile,cold start,9450,171547,11.35,1.12,0.0170,0
150,150,5,0.10,compare_to_percentile,rolling deploy,800,14127,1.76,1.04,0.0090,0
150,150,5,0.10,all_rebid,10% start,1500,51863,1.95,1.11,0.0035,0
150,150,5,0.10,all_rebid,cold start,9450,307954,11.42,1.30,0.0184,0
150,150,5,0.10,all_rebid,rolling deploy,800,25606,1.77,1.08,0.0090,0
150,150,5,0.20,compare_to_percentile,10% start,1500,58880,1.98,1.13,0.0033,0
150,150,5,0.20,compare_to_percentile,cold start,9450,366656,11.45,1.26,0.0173,0
150,150,5,0.20,compare_to_percentile,rolling deploy,800,30656,1.76,1.17,0.0090,0
150,150,5,0.20,all_rebid,10% start,1500,108153,1.92,1.07,0.0032,0
150,150,5,0.20,all_rebid,cold start,9450,650863,11.54,1.36,0.0167,0
150,150,5,0.20,all_rebid,rolling deploy,800,54046,1.81,1.48,0.0090,0
200,200,1,0.05,compare_to_percentile,10% start,2000,24108,8.84,1.10,0.0042,0
200,200,1,0.05,compare_to_percentile,cold start,12600,152400,54.63,1.29,0.0180,0
200,200,1,0.05,compare_to_percentile,rolling deploy,1000,12024,4.76,1.31,0.0428,0
200,200,1,0.05,all_rebid,10% start,2000,42336,8.93,1.12,0.0037,0
200,200,1,0.05,all_rebid,cold start,12600,266448,55.60,1.12,0.0180,0
200,200,1,0.05,all_rebid,rolling deploy,1000,21042,4.49,1.03,0.0516,0
200,200,1,0.10,compare_to_percentile,10% start,2000,44308,8.84,1.08,0.0026,0
200,200,1,0.10,compare_to_percentile,cold start,12600,281534,55.56,1.33,0.0175,0
200,200,1,0.10,compare_to_percentile,rolling deploy,1000,22132,4.56,1.09,0.0095,0
200,200,1,0.10,all_rebid,10% start,2000,82287,8.91,1.12,0.0037,0
200,200,1,0.10,all_rebid,cold start,12600,523816,55.13,1.12,0.0155,0
200,200,1,0.10,all_rebid,rolling deploy,1000,41123,4.76,1.21,0.0095,0
200,200,1,0.20,compare_to_percentile,10% start,2000,85008,8.98,1.14,0.0029,0
200,200,1,0.20,compare_to_percentile,cold start,12600,543816,55.21,1.30,0.0175,0
200,200,1,0.20,compare_to_percentile,rolling deploy,1000,42378,4.58,1.11,0.0095,0
200,200,1,0.20,all_rebid,10% start,2000,164430,9.01,1.08,0.0023,0
200,200,1,0.20,all_rebid,cold start,12600,1050246,56.88,1.48,0.0163,0
200,200,1,0.20,all_rebid,rolling deploy,1000,81243,4.62,1.08,0.0095,0
200,200,2,0.05,compare_to_percentile,10% start,2000,24288,4.52,1.06,0.0037,0
200,200,2,0.05,compare_to_percentile,cold start,12600,154932,27.77,1.09,0.0189,0
200,200,2,0.05,compare_to_percentile,rolling deploy,1000,12048,2.67,1.09,0.0513,0
200,200,2,0.05,all_rebid,10% start,2000,42284,5.17,1.88,0.0045,-1
200,200,2,0.05,all_rebid,cold start,12600,268588,27.78,1.11,0.0193,0
200,200,2,0.05,all_rebid,rolling deploy,1000,21168,2.67,1.11,0.0516,0
200,200,2,0.10,compare_to_percentile,10% start,2000,45166,4.63,1.11,0.0030,0
200,200,2,0.10,compare_to_percentile,cold start,12600,285626,27.81,1.22,0.0168,0
200,200,2,0.10,compare_to_percentile,rolling deploy,1000,22176,2.74,1.06,0.0095,0
200,200,2,0.10,all_rebid,10% start,2000,83804,4.55,1.07,0.0027,0
200,200,2,0.10,all_rebid,cold start,12600,568670,29.91,2.36,0.0152,0
200,200,2,0.10,all_rebid,rolling deploy,1000,41697,2.78,1.09,0.0095,0
200,200,2,0.20,compare_to_percentile,10% start,2000,103152,5.83,2.41,0.0029,0
200,200,2,0.20,compare_to_percentile,cold start,12600,593292,28.52,1.64,0.0140,0
200,200,2,0.20,compare_to_percentile,rolling deploy,1000,42546,2.73,1.09,0.0095,0
200,200,2,0.20,all_rebid,10% start,2000,170991,4.83,1.11,0.0034,0
200,200,2,0.20,all_rebid,cold start,12600,1103868,28.89,1.52,0.0161,0
200,200,2,0.20,all_rebid,rolling deploy,1000,82620,2.70,1.14,0.0095,0
200,200,5,0.05,compare_to_percentile,10% start,2000,25440,1.83,0.95,0.0044,0
200,200,5,0.05,compare_to_percentile,cold start,12600,158580,11.37,0.97,0.0218,0
200,200,5,0.05,compare_to_percentile,rolling deploy,1000,12504,0.97,0.97,0.0435,0
200,200,5,0.05,all_rebid,10% start,2000,43953,1.86,0.97,0.0044,0
200,200,5,0.05,all_rebid,cold start,12600,279509,11.43,1.03,0.0186,0
200,200,5,0.05,all_rebid,rolling deploy,1000,21588,0.97,0.97,0.0470,0
200,200,5,0.10,compare_to_percentile,10% start,2000,49192,1.89,0.96,0.0034,0
200,200,5,0.10,compare_to_percentile,cold start,12600,309012,11.42,1.10,0.0205,0
200,200,5,0.10,compare_to_percentile,rolling deploy,1000,24222,1.01,1.01,0.0095,0
200,200,5,0.10,all_rebid,10% start,2000,93029,1.91,1.00,0.0036,0
200,200,5,0.10,all_rebid,cold start,12600,572135,11.57,1.08,0.0188,0
200,200,5,0.10,all_rebid,rolling deploy,1000,43214,1.13,1.12,0.0095,0
200,200,5,0.20,compare_to_percentile,10% start,2000,117893,2.00,1.12,0.0025,0
200,200,5,0.20,compare_to_percentile,cold start,12600,710051,11.77,1.40,0.0187,0
200,200,5,0.20,compare_to_percentile,rolling deploy,1000,51786,0.97,0.97,0.0095,0
200,200,5,0.20,all_rebid,10% start,2000,191079,2.07,1.17,0.0035,0
200,200,5,0.20,all_rebid,cold start,12590,1963180,19.53,9.99,0.0178,-10
200,200,5,0.20,all_rebid,rolling deploy,1000,115162,2.53,2.52,0.0103,0
250,250,1,0.05,compare_to_percentile,10% start,2500,37905,9.19,1.08,0.0039,0
250,250,1,0.05,compare_to_percentile,cold start,15750,241380,57.01,1.40,0.0171,0
